"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"Q4yrJ1KoNpQ","LVJ6KYkL","2026-04-27 22:54:55","2026-04-27 22:57:29","154","数据集市","ABJV7z","数字游戏产品评价研究","116.162.92.53","113.0234018","25.8542606","湖南省","长沙市","MOBILE","iOS","Apple WebKit","390px*844px","块 2","1","1000","3","13001","1","1000","","","","","4","58768","2","3713","2","8620","4","619","3","2675","4","2269","3","12784","4","1702","3","1492","3","2298","4","1787","4","1040","4","999","4","2214","50","6798","5","5693","5","1005","6","1603","4","1551","5","1070","5","2879","5","1855","5","2591","1","2307","2","2589","4","1519","4","1907","3","6026"
"oBDrVGxN2kB","e5yE8NNe","2026-04-27 22:53:46","2026-04-27 22:57:29","223","数据集市","ABJV7z","数字游戏产品评价研究","219.146.245.137","120.5010588","36.1620415","山东省","青岛市","COMPUTER","Windows","Chrome","1536px*864px","块 2","1","1000","3","14784","1","1000","","","","","3","45658","3","33993","2","8019","4","10699","5","2434","5","2311","5","5949","4","2232","4","2761","3","2674","6","4049","5","2685","5","4484","5","6600","40","17958","6","4832","6","2163","5","1864","6","4104","5","4605","6","3170","4","2427","5","5232","1","5466","1","2793","2","1309","3","2112","3","13747"
"nNPXDZODNpn","7lOaRn4M","2026-04-27 22:51:59","2026-04-27 22:57:29","330","数据集市","ABJV7z","数字游戏产品评价研究","110.52.125.125","112.9145550","27.8738740","湖南省","湘潭市","MOBILE","Android","Chrome","316px*686px","块 3","1","1000","5","159906","","","1","1000","","","7","69959","2","5656","2","7895","2","3492","2","12824","2","6975","1","1429","5","3604","4","3180","6","2965","4","2461","3","1783","3","2088","2","4542","38","4245","6","4742","7","2513","5","2924","7","3197","7","1918","7","2333","5","1598","5","6011","1","2301","2","2140","4","1340","3","1792","5","3011"
"NRw1GPEYGpW","MWWpgObM","2026-04-27 22:54:15","2026-04-27 22:57:24","189","数据集市","ABJV7z","数字游戏产品评价研究","139.215.46.125","125.4274550","43.8228880","吉林省","长春市","MOBILE","Android","Chrome","348px*755px","块 3","1","1000","3","5132","","","1","1000","","","7","41535","7","32930","1","9932","1","4558","1","1974","1","3221","1","2050","3","4330","3","3669","3","3380","1","2714","1","2648","1","1342","1","1759","5","5142","4","11216","5","2474","4","2069","6","2851","6","6279","6","3632","5","9411","2","6054","1","2538","1","3250","2","1435","3","2517","2","2629"
"XOngJEr1w9r","ebq9PKdL","2026-04-27 22:54:18","2026-04-27 22:57:20","182","数据集市","ABJV7z","数字游戏产品评价研究","120.208.106.98","112.5087760","37.8604970","山西省","太原市","MOBILE","Android","Chrome","377px*832px","块 2","1","1000","2","5242","1","1000","","","","","1","25205","3","30771","2","25985","5","1955","5","1412","6","2803","6","3734","5","2439","5","1250","6","3573","5","1565","4","5544","5","10549","6","8531","50","7072","7","1577","7","2174","6","2052","4","2598","5","2974","6","6408","7","2162","5","2728","1","9816","2","3762","5","1138","2","1281","2","4733"
"bNpO9BzZmOy","kMr6Xy5M","2026-04-27 22:54:46","2026-04-27 22:57:15","149","数据集市","ABJV7z","数字游戏产品评价研究","171.218.229.176","104.2913280","30.8892970","四川省","成都市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","4","11180","","","1","1000","","","6","31176","5","14641","6","8500","6","9752","6","4246","5","9092","5","2794","6","1534","6","1683","6","1798","6","4617","5","964","6","1746","6","2157","50","5524","6","2851","6","1522","7","1608","6","893","6","2017","5","1391","5","1581","5","3722","1","1842","1","4158","4","1038","1","1456","5","11192"
"NRw1GE3GWYW","LwPorE1e","2026-04-27 22:54:51","2026-04-27 22:57:15","144","数据集市","ABJV7z","数字游戏产品评价研究","1.206.128.190","105.8471330","26.1778570","贵州省","贵阳市","MOBILE","Android","Chrome","370px*816px","块 3","1","1000","4","3413","","","1","1000","","","7","28061","7","890","1","15926","5","17128","6","2550","6","1549","6","2245","6","1805","6","998","7","4211","6","1577","6","4015","6","1460","6","7313","68","4836","7","4150","6","1269","6","2068","6","7797","6","804","6","8264","6","2061","7","4872","1","1500","1","5781","2","809","3","1223","5","3468"
"lxo1Vgy9OgR","7j90dYOM","2026-04-27 22:53:40","2026-04-27 22:57:01","201","数据集市","ABJV7z","数字游戏产品评价研究","111.41.119.88","127.4907740","46.8739010","黑龙江省","绥化市","MOBILE","Android","Chrome","360px*585px","块 2","1","1000","5","32527","1","1000","","","","","1","64704","2","656","1","835","7","767","6","1047","7","37738","6","440","5","667","5","532","4","821","6","28369","7","347","6","411","7","426","68","3134","5","2817","7","1378","6","870","7","1192","6","987","7","2244","6","509","7","1100","1","1640","2","2114","3","1591","3","1886","4","8617"
"bNpO91pEYWX","MdP2kWWM","2026-04-27 22:54:02","2026-04-27 22:56:51","169","数据集市","ABJV7z","数字游戏产品评价研究","123.139.11.111","108.9245887","34.2501817","陕西省","西安市","MOBILE","iOS","Apple WebKit","393px*852px","块 2","1","1000","2","5309","1","1000","","","","","5","22665","4","24363","6","2245","5","1997","5","1365","6","1297","5","2098","6","1598","6","2399","5","2688","4","1552","4","1099","3","1464","4","1896","10","3001","6","2092","5","1131","5","1115","4","1680","3","1915","3","1432","5","2031","5","1960","1","1317","2","2429","2","715","3","1445","1","2798"
"XOngJWa23QB","en9zoraL","2026-04-27 22:54:14","2026-04-27 22:56:50","156","数据集市","ABJV7z","数字游戏产品评价研究","171.11.57.98","115.6252580","34.3992110","河南省","商丘市","MOBILE","Android","Chrome","394px*852px","块 3","1","1000","3","4274","","","1","1000","","","7","51862","7","392","1","1107","5","1050","5","873","6","2184","6","2177","5","1477","6","11857","6","5678","5","6238","5","3767","5","3290","5","5432","68","25021","5","731","6","2978","6","611","6","6188","7","1775","5","1598","6","1185","6","884","1","2276","2","3021","2","639","3","1502","2","2384"
"Q4yrJPZWzzW","z7lEJ65L","2026-04-27 22:54:50","2026-04-27 22:56:48","118","数据集市","ABJV7z","数字游戏产品评价研究","116.162.133.201","112.6194200","26.8665170","湖南省","长沙市","MOBILE","Android","Chrome","361px*801px","块 2","1","1000","4","2428","1","1000","","","","","6","3481","5","1409","6","405","5","850","5","439","6","900","5","963","6","528","6","1048","5","1031","6","902","6","344","5","968","5","397","100","4146","6","1080","5","474","6","861","6","298","5","968","5","260","6","876","6","370","1","1030","2","1394","2","698","3","1840","3","4624"
"Q4yrJPBOX4d","7qXBRngM","2026-04-27 22:55:19","2026-04-27 22:56:46","87","数据集市","ABJV7z","数字游戏产品评价研究","223.104.78.56","113.6570070","24.7761270","广东省","广州市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","5","1579","1","1000","","","","","2","15341","3","8163","2","2268","5","15468","5","1050","6","1932","5","543","5","1052","5","726","6","2940","4","758","4","1704","4","809","4","1770","35","5800","5","1976","6","779","4","1989","6","1756","7","2216","6","347","7","1388","5","1132","1","1252","2","2282","2","660","3","1434","3","2675"
"XOngJ6Nxg88","z7AdANoM","2026-04-27 22:54:15","2026-04-27 22:56:41","146","数据集市","ABJV7z","数字游戏产品评价研究","117.12.37.168","117.2660510","39.0463250","天津市","市辖区","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","5","3305","1","1000","","","","","1","41376","1","15577","1","2604","7","3151","7","2130","6","2121","4","5262","4","1804","5","2035","4","23886","5","1175","3","1879","3","1945","2","2328","68","6575","6","2609","7","1585","6","1905","7","3262","6","1556","7","1565","7","1816","6","3694","1","1052","2","1543","3","1260","3","1556","2","4107"
"mnZ30oyARrn","MdPx9EQM","2026-04-27 22:54:02","2026-04-27 22:56:39","157","数据集市","ABJV7z","数字游戏产品评价研究","171.111.176.169","110.1457730","25.2235560","广西壮族自治区","南宁市","MOBILE","Android","Chrome","348px*755px","块 3","1","1000","4","8645","","","1","1000","","","7","23457","7","33654","2","30106","6","3207","7","1169","7","2045","5","810","6","1325","6","1686","5","1466","5","2205","5","785","5","1494","5","6691","100","7292","5","6167","6","494","6","1972","7","3791","5","1551","6","1826","5","1359","6","2049","1","1516","2","1744","2","1065","2","1557","3","4471"
"oBDrVZr6ZVW","7qX6pngM","2026-04-27 22:52:10","2026-04-27 22:56:39","269","数据集市","ABJV7z","数字游戏产品评价研究","39.155.49.253","120.7506160","42.5568520","内蒙古自治区","通辽市","MOBILE","Android","Chrome","362px*782px","块 2","1","1000","4","20809","1","1000","","","","","6","42832","7","7378","7","17993","6","5436","7","2723","6","2945","7","2118","5","5463","6","4012","6","2490","5","2876","5","2913","5","2724","6","6937","50","4763","6","6091","6","5139","7","3431","5","88545","6","3730","6","3081","6","4997","7","2355","1","3913","2","2963","3","2200","3","1929","2","4674"
"XOngJpRJ8NO","Mo11EKdL","2026-04-27 22:54:21","2026-04-27 22:56:24","123","数据集市","ABJV7z","数字游戏产品评价研究","119.186.180.107","118.5043836","36.9880932","山东省","东营市","MOBILE","iOS","Apple WebKit","375px*812px","块 2","1","1000","3","21201","1","1000","","","","","5","36605","5","2074","6","1759","5","3385","4","3887","5","1393","6","1146","5","1127","6","1228","5","699","6","2707","6","1045","7","1578","5","980","50","15378","5","1273","6","1938","6","1031","6","1028","4","1842","5","981","6","929","5","862","1","1978","2","1094","2","929","3","8466","2","4086"
"gnzAWkkb5ay","MJnEowwM","2026-04-27 22:53:47","2026-04-27 22:56:12","145","数据集市","ABJV7z","数字游戏产品评价研究","115.171.196.218","115.9596950","39.7246330","北京市","市辖区","MOBILE","Android","Chrome","393px*851px","块 4","1","1000","5","37189","","","","","1","1000","7","14503","1","3451","6","2446","7","2055","7","1530","7","1348","7","685","7","1555","7","1409","6","1818","7","3060","7","481","6","734","6","2562","68","17842","7","1463","6","1008","6","1410","7","1968","7","1017","7","1931","6","1712","6","2152","1","3588","1","23707","3","1059","3","1579","3","8367"
"XOngJjGjoKB","ev9P4PQL","2026-04-27 22:52:05","2026-04-27 22:55:40","215","数据集市","ABJV7z","数字游戏产品评价研究","123.147.245.249","106.5130085","29.5799250","重庆市","市辖区","TABLET","iOS","Apple WebKit","768px*1024px","块 3","1","1000","4","39662","","","1","1000","","","3","11878","4","12305","5","2483","4","6392","4","3633","5","6698","3","6598","4","6669","4","3303","7","7084","2","3590","2","4875","3","3148","4","3145","0","26201","6","6421","5","2796","4","7716","5","8443","6","6597","6","7104","6","3100","6","1680","1","9703","2","5285","2","1255","4","4160","3","2319"
"gnzAWgAXoW5","LVJ6yDPL","2026-04-27 22:52:16","2026-04-27 22:55:38","202","数据集市","ABJV7z","数字游戏产品评价研究","117.141.86.82","107.1330240","23.6158620","广西壮族自治区","百色市","MOBILE","Android","Chrome","360px*780px","块 4","1","1000","3","4326","","","","","1","1000","7","84350","1","2153","7","3902","6","22178","6","4097","5","3683","6","1035","7","1753","6","1994","6","1924","5","1333","6","1943","6","1934","5","1720","60","20578","6","1670","7","1194","6","1532","5","1962","5","1902","6","1664","6","5816","5","3587","1","1446","2","4956","4","1307","3","1557","2","6232"
"NRw1GJazwPR","pLzaay87","2026-04-27 22:52:34","2026-04-27 22:55:38","184","数据集市","ABJV7z","数字游戏产品评价研究","183.93.227.211","113.9522100","30.9310200","湖北省","孝感市","MOBILE","Android","Chrome","424px*942px","块 2","1","1000","4","12538","1","1000","","","","","2","67612","1","16319","1","3017","6","3478","7","1074","7","1027","7","3244","6","1916","5","1917","6","1038","6","2041","7","1669","7","1263","5","5285","65","12589","7","2759","7","1309","6","636","7","1374","5","1882","6","656","6","1851","7","2143","1","752","2","2388","4","1331","3","1957","5","8611"
"nNPXD0z4J0R","J7qplWgM","2026-04-27 22:53:05","2026-04-27 22:55:31","146","数据集市","ABJV7z","数字游戏产品评价研究","24.217.44.112","-90.3277384","38.6225268","Missouri","Overland","COMPUTER","Windows","Chrome","1536px*864px","块 2","1","1000","5","3022","1","1000","","","","","1","20979","2","9731","2","1216","6","1393","7","746","6","945","6","916","6","1314","6","746","7","1070","5","2538","5","1238","6","987","5","2445","49","5413","6","1858","6","784","5","2391","6","1438","6","1238","7","1101","5","1761","5","838","1","1546","2","3017","3","800","4","1238","4","3021"
"mnZ3mYY6Kpx","kM13JDEL","2026-04-27 22:52:14","2026-04-27 22:55:31","197","数据集市","ABJV7z","数字游戏产品评价研究","27.201.70.217","117.0795535","36.0551753","山东省","泰安市","MOBILE","iOS","Apple WebKit","393px*852px","块 2","1","1000","2","7447","1","1000","","","","","5","114776","6","2276","5","3882","5","16917","6","2443","6","2232","6","1581","5","2050","6","951","6","1468","6","1597","6","1035","6","1300","5","2052","100","5205","6","3356","6","2230","6","1054","5","2246","6","2567","6","1269","6","2052","6","1501","1","1334","2","2252","4","1334","3","2117","2","5600"
"WPdqo1l5Olr","pLzyyax7","2026-04-27 22:53:02","2026-04-27 22:55:25","143","数据集市","ABJV7z","数字游戏产品评价研究","49.93.162.69","118.8977430","31.6407790","江苏省","苏州市","MOBILE","Android","Chrome","367px*814px","块 2","1","1000","3","2350","1","1000","","","","","2","49807","2","18117","2","7752","6","1927","7","1941","6","2211","5","2102","6","2326","6","4078","7","2843","5","1963","6","2127","5","3003","6","2622","70","3517","6","2039","7","2456","5","2029","6","2452","4","1804","6","2492","3","3026","4","2781","1","1595","2","3020","2","1060","3","1983","3","7319"
"bNpOGxKWNPN","7BGP0kKL","2026-04-27 22:53:08","2026-04-27 22:55:18","130","数据集市","ABJV7z","数字游戏产品评价研究","116.169.1.101","104.0924050","30.4828490","四川省","成都市","MOBILE","Android","Chrome","360px*748px","块 3","1","1000","2","2662","","","1","1000","","","6","36970","5","2515","2","4147","5","8738","5","1699","6","10646","6","5504","7","1151","6","966","6","1520","5","1713","6","1118","6","2006","5","2200","50","7197","6","1613","7","634","6","976","5","1045","6","1011","6","3163","5","299","5","2508","1","1044","2","4498","4","1325","3","1880","2","7938"
"mnZ3mGjQVNn","MJn22RBM","2026-04-27 22:54:11","2026-04-27 22:55:14","63","数据集市","ABJV7z","数字游戏产品评价研究","118.212.216.80","114.8829530","25.8015160","江西省","南昌市","MOBILE","Android","Chrome","360px*791px","块 4","1","1000","5","5293","","","","","1","1000","7","12920","7","3125","7","483","5","2379","6","1246","6","1080","6","3806","6","514","6","882","6","950","6","1090","7","855","6","1174","7","830","68","4905","7","3114","7","334","7","439","7","933","7","831","7","792","7","904","7","1358","1","3277","2","3612","2","859","3","1713","2","1951"
"vNrgzr9D0oN","M283wjkL","2026-04-27 22:53:51","2026-04-27 22:55:01","70","数据集市","ABJV7z","数字游戏产品评价研究","111.55.146.236","107.4698620","31.2406340","四川省","达州市","MOBILE","Android","Chrome","393px*873px","块 3","1","1000","5","7349","","","1","1000","","","4","24655","4","822","4","587","4","573","4","1125","4","923","4","467","4","888","4","597","4","974","4","355","4","873","5","323","4","1429","28","7780","3","894","3","292","3","1143","3","1020","3","1502","3","564","3","508","3","960","1","1755","2","4121","2","935","3","1730","2","4254"
"XOngbr488pr","7BGQDNKL","2026-04-27 22:52:28","2026-04-27 22:54:19","111","数据集市","ABJV7z","数字游戏产品评价研究","183.228.61.152","106.5100394","29.5669074","重庆市","市辖区","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","7447","","","1","1000","","","6","34202","6","1483","7","3133","4","4055","4","1982","4","2749","5","1718","6","1434","6","1467","6","1450","6","1801","5","1798","5","1818","6","2202","600","8785","6","1469","6","4949","6","1099","5","1484","5","2368","5","1134","6","1116","6","1618","1","5049","2","2240","3","1360","3","1517","5","6935"
"oBDr9NVql66","Mx2qw6aL","2026-04-27 22:51:52","2026-04-27 22:54:11","139","数据集市","ABJV7z","数字游戏产品评价研究","117.154.99.198","114.3708680","30.4056110","湖北省","武汉市","MOBILE","Android","Chrome","361px*801px","块 4","1","1000","1","31114","","","","","1","1000","6","40266","2","1046","6","2338","5","6082","5","2747","5","2515","6","2819","6","1487","5","2631","6","2621","5","2548","4","2564","4","1210","5","1871","55","4444","6","4116","6","702","5","1084","6","1530","6","4184","7","674","5","1035","5","731","1","1331","1","3850","2","375","2","1400","1","9857"
"XOngbKmdpnr","LQ8DwNb7","2026-04-27 22:52:36","2026-04-27 22:53:47","71","数据集市","ABJV7z","数字游戏产品评价研究","117.136.108.205","115.9650660","28.7010010","江西省","南昌市","MOBILE","Android","Chrome","394px*853px","块 4","1","1000","3","5963","","","","","1","1000","5","7796","5","1146","5","922","4","2762","4","908","4","1654","4","2757","6","929","6","2175","5","1328","5","1346","5","939","5","1358","5","1586","50","4697","5","2889","5","756","5","3804","4","1295","3","4254","5","2122","5","913","4","2229","1","4711","1","2189","2","600","2","1553","2","3613"
"gnzAEppk3Z5","M9Xm3aRe","2026-04-27 22:41:12","2026-04-27 22:43:19","127","数据集市","ABJV7z","数字游戏产品评价研究","39.144.30.214","80.2838321","41.1615349","新疆维吾尔自治区","吐鲁番市","MOBILE","iOS","Apple WebKit","414px*896px","块 3","1","1000","2","4389","","","1","1000","","","5","16833","5","2590","4","4408","4","3742","6","5683","6","2334","6","2599","6","1946","5","2578","6","2209","3","2366","2","4325","2","3377","2","4232","100","8769","5","9999","5","11074","5","2223","5","1868","5","1740","6","1943","4","3091","5","2333","1","5226","2","2165","3","1383","3","2134","1","9332"
"Q4yrvAQ6vP4","7AxV939M","2026-04-27 22:34:32","2026-04-27 22:40:11","339","数据集市","ABJV7z","数字游戏产品评价研究","218.26.159.186","112.5656280","37.6243560","山西省","太原市","MOBILE","Android","Chrome","362px*804px","块 4","1","1000","4","4739","","","","","1","1000","7","32340","1","67383","7","5774","5","6066","4","24400","4","214","5","2374","7","1034","6","1470","7","2928","7","867","5","2323","6","384","5","5229","70","12181","7","2710","6","9603","6","481","7","3688","4","1036","5","3272","7","1100","6","2002","1","7281","2","2158","2","504","3","1462","3","16536"
"WPdqGEDZ3KJ","5Lw2mJz7","2026-04-27 22:33:50","2026-04-27 22:40:07","377","数据集市","ABJV7z","数字游戏产品评价研究","221.218.214.70","116.2810512","40.1406687","北京市","市辖区","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","2671","","","1","1000","","","7","66486","7","4321","1","21940","6","5934","6","5235","7","3232","6","4495","5","4432","5","2643","4","12320","5","5137","5","1015","6","904","5","901","60","6596","6","5196","6","1944","7","1050","6","818","6","1068","5","2971","7","2083","6","485","1","1300","2","1350","3","883","3","1419","4","3737"
